,Unnamed: 0,Unnamed: 0.1,path_signal,path_target,path_signal_transformed,path_prediction,path_prediction_unpropped,mbp_file,tform,predicted_tform,pixel_error
30,30,30,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_030_999060490/Tile_r2-c3_S_030_99906_flip_flip.tif,,30/signal_transformed.tiff,30/prediction.tiff,30/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0030_F0005_Z00.tif,-0.0381337450 -0.0880995850 0.0878832953 -0.0381199228 76.4138595720 873.1210049002,-0.074256 -0.066978 0.066978 -0.074256 1295.458631 1552.925461,1844.85371667405
31,31,31,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_031_724848405/Tile_r2-c3_S_031_72484_flip_flip.tif,,31/signal_transformed.tiff,31/prediction.tiff,31/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0031_F0004_Z00.tif,-0.0383080518 -0.0878350396 0.0875347021 -0.0382466362 1689.8586794801 877.1066458743,0.097797 0.020877 -0.020877 0.097797 1136.309956 1482.995175,256.54035025785015
32,32,32,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 4/S_032_400758841/Tile_r1-c2_S_032_40075_flip_flip.tif,,32/signal_transformed.tiff,32/prediction.tiff,32/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0032_F0007_Z00.tif,0.0088217832 0.0973924595 -0.0971399983 0.0087556863 204.7052475035 760.8763294551,0.010366 0.099461 -0.099461 0.010366 202.821415 757.629504,2.9569213773858114
33,33,33,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 5/S_033_2078107364/Tile_r2-c1_S_033_207810_flip_flip.tif,,33/signal_transformed.tiff,33/prediction.tiff,33/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0033_F0013_Z00.tif,0.0118632845 0.0967665361 -0.0966213125 0.0116542877 521.8248048979 1300.6390800663,0.012966 0.099156 -0.099156 0.012966 523.642308 1298.908550,1.973210494485038
34,34,34,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 4/S_034_1809625004/Tile_r2-c1_S_034_180962_flip_flip.tif,,34/signal_transformed.tiff,34/prediction.tiff,34/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0034_F0007_Z00.tif,0.0088067968 0.0970983165 -0.0968740732 0.0089212791 329.7935496267 634.1232435161,0.010366 0.099461 -0.099461 0.010366 330.821415 631.629504,1.5771052173506448
35,35,35,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_035_66834885/Tile_r2-c3_S_035_6683_flip_flip.tif,,35/signal_transformed.tiff,35/prediction.tiff,35/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0035_F0011_Z00.tif,-0.0197893847 -0.0970356228 0.0968853965 -0.0196643817 468.9092619150 1322.3737610260,-0.020791 -0.097815 0.097815 -0.020791 469.232307 1322.954447,0.7959917862396375
36,36,36,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_036_709177566/Tile_r2-c3_S_036_70917_flip_flip.tif,,36/signal_transformed.tiff,36/prediction.tiff,36/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0036_F0011_Z00.tif,-0.0196894318 -0.0972081255 0.0970588693 -0.0195607182 432.2814564568 1335.3416695073,-0.020791 -0.097815 0.097815 -0.020791 433.232307 1335.954447,0.6591506624646558
37,37,37,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_037_122100582/Tile_r2-c3_S_037_12210_flip_flip.tif,,37/signal_transformed.tiff,37/prediction.tiff,37/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0037_F0007_Z00.tif,-0.0388156604 -0.0876130680 0.0873645238 -0.0387204684 1607.1933947901 879.8638985695,-0.097648 0.021559 -0.021559 -0.097648 1851.405405 964.067272,240.3406440539001
38,38,38,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 4/S_038_404791722/Tile_r1-c2_S_038_40479_flip_flip.tif,,38/signal_transformed.tiff,38/prediction.tiff,38/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0038_F0008_Z00.tif,0.0082608352 0.0968342744 -0.0965805675 0.0081843835 207.1346533332 772.8824987215,0.009498 0.099548 -0.099548 0.009498 206.537679 769.215760,2.6460463691261067
39,39,39,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_039_1910572817/Tile_r2-c2_S_039_191057_flip_flip.tif,,39/signal_transformed.tiff,39/prediction.tiff,39/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0039_F0007_Z00.tif,-0.0376284638 -0.0880814445 0.0878075598 -0.0376165321 1648.5801507821 970.3188435614,0.015557 0.098782 -0.098782 0.015557 1594.418900 1350.245228,405.68647766619995
